Text,Primary Intent,Secondary Intent,Intiated by,Response,List
"There are 16 Apollos. Remove Apollo. Well, this future retail and that person or one.",Trade generation,Sell,,,
I'll remove the recovered W. That means you can see once that +2 is till date.,Trade generation,Sell,,,
"If you find your stomach in your stomach, remove it.",Trade generation,Sell,,,
"Remove the industry, I'll do some harm.",Trade generation,Sell,,,
"If you find your stomach in your stomach, remove it.",Trade generation,Sell,,,
"And there is a need, sir, so it is necessary to remove it. Fine Done Ok Fired 121210 at 12:00 pm.",Trade generation,Sell,,,
"Okay, 14. Quantity has been done in 1503, now 501 is running for. Ok, we'll go to a â‚¹15220, remove those who open Tata Motors. When you leave today, it increases today. Sir, right is the right address.",Trade generation,Sell,,,
"I'm clicking, ma'am.",Miscellaneous,,,,
Motilal Oswal repeatedly.,Miscellaneous,,,,
"Lion good, ok what time?",Miscellaneous,,,,
It is not.,Miscellaneous,,,,
You can download it if it's free now.,Miscellaneous,,,,
What will happen in this? You have to put money in it in the app and we will buy shares from it.,Miscellaneous,,,,
"It may not happen before that, sir.",Miscellaneous,,,,
When will you be able to do it?,Miscellaneous,,,,
It will happen.,Miscellaneous,,,,
"I'll talk to the boy now and tell you in half an hour, if you take it this evening, today.",Miscellaneous,,,,
"And if so, say to him today so that he can go to the place today so that I can do it tomorrow.",Miscellaneous,,,,
The one above.,Miscellaneous,,,,
It is almost the only means of youth.,Miscellaneous,,,,
Does it come out in sir's account?,Miscellaneous,,,,
"Tomorrow, it is an amount of 10,005.",Miscellaneous,,,,
"Now the ₹2939 sir?1 is 85,57",Miscellaneous,,,,
Tata Motors we can do bhai,Miscellaneous,,,,
"The market also goes down sometimes it goes up, sir.",Miscellaneous,,,,
Tata is also in the cash that is opening up chemicals.,Miscellaneous,,,,
Both places in the future.,Miscellaneous,,,,
That will be something.,Miscellaneous,,,,
"For 1 minute, it will be a mamka, it will show something.",Miscellaneous,,,,
"This is not to show it. Delivery doesn't show intraday, well you'll see stocks like it.",Miscellaneous,,,,
"Options will appear. Normally Plus machine plus and delivery will see such an option. Right now I was telling you the basic option that there are two basic options only when you start. One lives on the Internet, the other lives from Delivery.",Miscellaneous,,,,
It happens a little bit.,Miscellaneous,,,,
"So your twenty-five ₹1000 means those running by 50,000? You can also buy gold clothes and make them feel that they have reached the twenty-five and will automatically fail.",Miscellaneous,,,,
"Brother, you do it.",Miscellaneous,,,,
So what is it worth trading?,Miscellaneous,,,,
The roads are wide.,Miscellaneous,,,,
"So, there are knowledgeable people, these people should know because they are closed nowadays, the bank is closed.",Miscellaneous,,,,
"Tell me, you will come on the 7th and 8th.",Miscellaneous,,,,
Happy Holi sir,Greeting and Etiquette,Festival Greeting,,,
Good Afternoon Maam.,Greeting and Etiquette,"Time of the day greeting
",,,
good Evening sir,Greeting and Etiquette,"Time of the day greeting
",,,
Merry Christman sir,Greeting and Etiquette,Festival Greeting,,,
"It was nice talking to you sir, Thank you!",Greeting and Etiquette,Closing the call greeting,,,
"How does it happen now? Where you have been trained, we buy a little bit of shares that we buy from companies, they have a little share price. If it increases, you can also sell out your city and it has insider training. In these writings, if you don't buy shares, you have to sell out before 3.5, you have to check between nine and 3.5 whether the price of your share is increasing or not. Like you may feel a little too much, sir, if the price of your share is increasing",Portfolio Discussion,,,,
"Yes, that's how they can do delhi to you, and the other is delivery training. You can sell a share at any time where you bought it today. Just you have to see this there you have to buy your stock at the lowest price. If the price increases for a week or a few months, you have to send it at that time, sir.",Process,,,,
"You have to buy. You have to put more money into it, you have to see the money.",Process,,,,
"So you don't even have to buy a share in this period, sir, at least at a price and if the price goes up in the market, you have to send it at that time.",Process,,,,
"Right, sir, let's buy here.",Trade Generation,Buy,,,
What will happen in this? You have to put money in it in the app and we will buy shares from it.,Process,,,,
"Will you buy serious shares? If you send it as you go up, we will benefit from it. Sir, you can take that benefit back to your bank. Returns?",Process,,,,
"And an advisor If You have an up point from here for this, they will tell you which share you want to buy. What time pay and how long can you fail it?",Process,,,,
Buy any such stock four times from the market.,Trade Generation,Buy,,,
"It's done. Yes, buy it.",Trade Generation,Buy,,,
"No, just buy some stocks that have a recommendation now, sir, which is at a lower price, atalist 2030 quantity you can buy, whenever your fund comes next time, sir, you can find more quantity in it. Right and quantity can input into it.",Trade Generation,Buy,,,
"Yes, what will happen to him, sir, can we buy lions from the app, can we, sir?",Trade Generation,Buy,,,
"I don't know how this company is. not? The stock is listed in the market and each company has one share. What can you do if it has a specific price? If you want to make some sites less, you can buy And send it to You.",Trade Generation,Buy,,,
"Well, sir, you will buy from here, we will buy, we know how to buy, just help a little for the oil, tell me, Talk to Pawanji, okay.",Process,,,,
"Sir, how is it? If you add, you can trade, sir, only then can you go and buy and sit down, sir for example, you are training on your own. What is training like? Which city of â‚¹500 was purchased? That's fine with the company.",Process,,,,
And buy a little.,Trade Generation,Buy,,,
"You have to link, buy and sell the bike in the stock market.",Process,,,,
"Will be done, which will recommend to you. Which shares to buy?",Process,,,,
And some are speaking to buy something else.,Process,,,,
"So accordingly, how can i call you and transfer the fund to that market before today and at the same time provide whatever recommendation you have and buy it only if you want to buy stock only then.",Process,,,,
"So how about here? There is no time limit that if you buy today, you can send it to you today at any time. You can sell the city whenever you think the city's good price is rising. To the share.",Process,,,,
"Scholars want to bank bulbs cspn in options basically over telling you like want to buy like put and call option. Sir, you don't want to select the option.",Process,,,,
And you have to buy?,Trade Generation,Buy,,,
"Then understand, if you put in a profit, you can buy a share of 1,00,000, you can buy 50,000 shares of 50,000 added.",Process,,,,
You can buy and do it every day.,Process,,,,
Buy it and send it again tomorrow.,Trade Generation,Buy,,,
"If you look at it, nifty will be a little enjoyable because Reliance is running a little bit of a dila right now. Sir, good buying opportunity came, leave 2500 well in Reliance too, sir is almost â‚¹300 down from your all-time high sir right now yes so good stock stock money will also look all stocks mean mostly sector wise. If you look, it's down. There is only a steel sector which is up am which is a United Spirits almost 1000 pay sir.",Market Update,,,,
"Sir, you should always place an order of motors so just confirm that acting is going on in a lot down, so we can be buying in the market. Ok, so look at this now, now I'm taking your order. Exchange also orders time limit.",Trade Generation,Buy,,,
"If you buy it, there will be some benefit.",Trade Generation,Buy,,,
Buy for this reason.,Trade Generation,Buy,,,
Buy this cover.,Trade Generation,Buy,,,
So we can't buy any shares without money in it.,Process,,,,
"It's after buying. Let us keep it with us for a month, then we should sit down. I am also in that too.",Trade Generation,Buy,,,
"Even if he is going down the next day and gone down, you can sell out even if he has 519 nines the next day. For example right, what is it for you have not purchased shares for delivery training, I will provide you a call for long term you will also be told lions which good how to buy you?",Process,,,,
We have a target of 1000 to buy in ICICI Bank.,Trade Generation,Buy,,,
"Minimum minimum You have to start from 2000 and even if you start from 2000, the atlist is your account and that too will be activated. And plus sir, if you don't have to buy which shares, you also share.",Trade Generation,Buy,,,
"They keep a watch from the square. Today, if you see a little down side on the website, we can buy it.",Trade Generation,Buy,,,
"Hold the share buyback of lemon tree, whose market is open reality.",Portfolio Discussion,,,,
"Yes, how does actually live, sir? So just as you said you have to buy and sell shares right, you don't have to open log in to your account for that. By logging in, you will then have to transfer funds through UPI or net banking.",Process,,,,
"Yes, if you want to buy a lion, then with an app, we'll tell you where you can buy a lion and a woman. If you have to do the same training yourself, you will tell you those calls from here. Our market research team is there to have fundamental technical analysis. The call that comes will provide you. Sir.",Process,,,,
"After buying another city, they sell it.",Process,,,,
"Okay, sir. Tata Motors is running in the range of DVR 285. Sir, if you don't see it at a rent below 250, we can buy it, sir.",Trade Generation,,,,
"You will not be able to send it today, you will be able to sell tomorrow and you will be able to buy tomorrow.",Process,,,,
"Look at the money Today, if we put fifty-one 6050, it becomes buying. It would have had a profit â‚¹30 up side.",Trade Generation,Buy,,,
"If it remains on the down side, today it will be 3% side pay, when it goes down, it is running in the range of a little 243, nor will you see it at a down side rate of 220, nor can we buy in that range except that.",Market Update,,,,
"Right yes, he cancels the order. Adani Enterprise has had a very good volume. At Sodani Enterprise, we will buy in bean quantity all because Tata Steel has come down to a lot of 42. Our target that we had set has come to sir so now we will participate in the participating Adani Enterprise sir 1735 is going on.",Market Update,,,,
"And handle your portfolio with by buying selling one month expected bike into four three, maximum sir for trade and subscription plan means sir, you have chargeable me 2% charge you.",Process,,,,
"So your twenty-five â‚¹1000 means those running by 50,000? You can also buy gold clothes and make them feel that they have reached the twenty-five and will automatically fail.",Trade Generation,Buy,,,
"As the recommendation has come even today, I will tell you how to buy lemon tree and stock. â‚¹50, it is a target of 70. Then M Mahindra & Mahindra has a hobby â‚¹9 pay.",Trade Generation,Buy,,,
"Well, good right is minimum no problem you ask them also and how is plus? From here too, you get advisor appointments, like if you add a minimum of some amount of an atlist, so how will you become an advisor point from here? Directly, it's not that you added an amount, it's not like you'll be a lion's left, it's not like it doesn't happen until you buy again, yes, then at list no amount something 2000, 5000 how much amount add now Minimum 2000 so how will you become an advisor point from here? Endorsement",Trade Generation,Buy,,,
"I am saying, ""If a woman does not get a woman to have siddhu also average or not going down 100 points of private lying, then we have an average of 100 years of paint time like a soldier buy China.",Portfolio Discussion,,,,
"Yes, when you place the order, you have a buy and sale option. You click bye-pe, don't you? So he asks you, ""Is it okay to entertain or deliver?""",Process,,,,
